Date,^GSPC,GLD,USO,GLD-USO
2021-08-30,-0.011764012777826028,-0.01724553536490397,-0.030081205647956993,-0.01863807475266261
2021-08-31,-0.010654778493344553,-0.017240802296174505,-0.026574540730503075,-0.0169454082532997
2021-09-01,-0.00982284540606447,-0.01724338206639168,-0.026811447370357597,-0.015693346846792487
2021-09-02,-0.009028862023328598,-0.017241794759118585,-0.024868731775336494,-0.01473628361413984
2021-09-03,-0.00857142417298798,-0.017240976355714435,-0.030043325110467232,-0.015018263360236943
2021-09-07,-0.007925314516500269,-0.01724088031365965,-0.027255546327769282,-0.014086202969156416
2021-09-08,-0.008594842705288534,-0.017601057213104773,-0.028729213125597067,-0.017522028800202087
2021-09-09,-0.008201767852832406,-0.017600963539488403,-0.027021774452860275,-0.016062307797384153
2021-09-10,-0.009036634115551615,-0.017600961737307512,-0.030878156448665883,-0.015741709018612333
2021-09-13,-0.01086665095326525,-0.017600961729038793,-0.032409083815181025,-0.01550032319266618
2021-09-14,-0.00961175216783112,-0.017600961727259005,-0.0293641573904621,-0.015368526387994593
2021-09-15,-0.010214263450873704,-0.01635471510198824,-0.026390112370938294,-0.01456631199509633
2021-09-16,-0.010912062460053261,-0.015961608474726965,-0.0340353611396085,-0.015342511139871113
2021-09-17,-0.009875139320719864,-0.0181904487688658,-0.02817732025213974,-0.01666775213065758
2021-09-20,-0.011919803594814656,-0.21125396057515092,-0.027110314930975998,-0.015422398519611242
2021-09-21,-0.018521103848117167,-0.016660506060464448,-0.029548025192826278,-0.014755607909522815
2021-09-22,-0.014413331301694865,-0.01724080229619316,-0.026087580589734857,-0.01407238105185748
2021-09-23,-0.013789364963604682,-0.017240802296191515,-0.02833700334898123,-0.014161159792036011
2021-09-24,-0.014528014686515546,-0.01724080229620339,-0.02898010568953508,-0.013682695328780328
2021-09-27,-0.012075503265396977,-0.017240802296191515,-0.025775388470919657,-0.013430764746626822
2021-09-28,-0.010873863982369123,-0.0172440586468588,-0.02919532921537179,-0.014865590397500728
2021-09-29,-0.020239604336091305,-0.017240802296191356,-0.028057170473725045,-0.015820853343756738
2021-09-30,-0.016640968744688938,-0.017243523707704093,-0.02554921194376164,-0.014913227490284741
2021-10-01,-0.017342340798580748,-0.017240802296191512,-0.023865672187456406,-0.015112015191944769
2021-10-04,-0.016791226802953134,-0.017240802040481056,-0.024912792853068147,-0.014747549992200001
2021-10-05,-0.017975608879819152,-0.01724080229619127,-0.029067035981233693,-0.015809517207923736
2021-10-06,-0.016842593113920154,-0.015612348134384663,-0.030254046177723752,-0.015169354649738797
2021-10-07,-0.014351659678409713,-0.015299335895594188,-0.036928935388102394,-0.01639172476512761
2021-10-08,-0.013574328743449349,-0.017240802296191068,-0.03394585877646288,-0.01558452795962665
2021-10-11,-0.011916946240748646,-0.015529727560737394,-0.02788685434433839,-0.01445117856655128
2021-10-12,-0.012271451925017097,-0.017244618077850837,-0.026431677855913483,-0.01393389247038564
2021-10-13,-0.011124153994412269,-0.015494494522129134,-0.024621049567526795,-0.013395364918219046
2021-10-14,-0.010073674082774669,-0.015491891512833344,-0.023596608902498692,-0.013984236239258015
2021-10-15,-0.015025205564844428,-0.015122807388488086,-0.024265473354060936,-0.013840735030771765
2021-10-18,-0.013644147570828888,-0.015411505254782116,-0.02325886272109695,-0.013929348336632437
2021-10-19,-0.01200090671422432,-0.015087441592281382,-0.022794405741729157,-0.013684664499588809
2021-10-20,-0.011686167647997538,-0.014809638966192605,-0.022424779424036333,-0.013453005255523835
2021-10-21,-0.010628606912314403,-0.015092738016558464,-0.023230440456463528,-0.014135605348047638
2021-10-22,-0.00937876429041496,-0.014734330512334833,-0.026335437604060347,-0.014415965785397581
2021-10-25,-0.008929175523292823,-0.014860092723075468,-0.024586615026791273,-0.014362764742732403
2021-10-26,-0.008778772312400568,-0.01507053177759485,-0.02358178055953143,-0.01374366188568644
2021-10-27,-0.007933506435070029,-0.015106057891152843,-0.02248397493849762,-0.01306639189969215
2021-10-28,-0.009080730271480045,-0.014907364476259628,-0.03583823730748052,-0.015550440884725845
2021-10-29,-0.010656825387630924,-0.01466422496282938,-0.028097324046242527,-0.014385541554309402
2021-11-01,-0.009291317488097943,-0.014887321887921494,-0.02510719893860879,-0.014548381370727241
2021-11-02,-0.008552794454982781,-0.01495320417787573,-0.023310716541985466,-0.01400419020529251
2021-11-03,-0.008326555049367074,-0.014875489898037443,-0.022612462722046173,-0.013502925308201696
2021-11-04,-0.008893355462624217,-0.01724055989900543,-0.04568159207957084,-0.020445876417921775
2021-11-05,-0.00855027572717993,-0.01724077857133406,-0.03341989870274371,-0.01740761507981477
